datetime,open,high,low,close,volume
2025-02-20 10:15:00+00:00,189.583,189.583,189.352,189.366,2990
2025-02-20 10:30:00+00:00,189.366,189.434,189.336,189.34,1965
2025-02-20 10:45:00+00:00,189.342,189.465,189.322,189.354,2868
2025-02-20 11:00:00+00:00,189.354,189.356,189.195,189.22,2531
2025-02-20 11:15:00+00:00,189.219,189.346,189.203,189.32,2520
2025-02-20 11:30:00+00:00,189.32,189.406,189.287,189.295,2601
2025-02-20 11:45:00+00:00,189.296,189.413,189.258,189.412,3018
2025-02-20 12:00:00+00:00,189.412,189.454,189.158,189.264,3636
2025-02-20 12:15:00+00:00,189.262,189.36,189.198,189.23,3870
2025-02-20 12:30:00+00:00,189.228,189.354,189.118,189.219,3749
2025-02-20 12:45:00+00:00,189.22,189.276,189.078,189.111,3510
2025-02-20 13:00:00+00:00,189.11,189.14,188.968,189.052,3938
2025-02-20 13:15:00+00:00,189.052,189.135,189.008,189.038,4330
2025-02-20 13:30:00+00:00,189.039,189.307,188.93,189.182,4573
2025-02-20 13:45:00+00:00,189.182,189.382,189.173,189.306,4370
2025-02-20 14:00:00+00:00,189.304,189.462,189.296,189.388,4985
2025-02-20 14:15:00+00:00,189.387,189.438,189.27,189.306,3968
2025-02-20 14:30:00+00:00,189.308,189.325,189.062,189.076,5299
2025-02-20 14:45:00+00:00,189.078,189.164,188.954,188.974,5114
2025-02-20 15:00:00+00:00,188.973,189.18,188.69,189.154,6216
2025-02-20 15:15:00+00:00,189.154,189.245,189.076,189.173,5491
2025-02-20 15:30:00+00:00,189.162,189.234,189.04,189.138,5113
2025-02-20 15:45:00+00:00,189.132,189.154,188.935,188.993,6386
2025-02-20 16:00:00+00:00,188.993,189.226,188.944,189.211,5404
2025-02-20 16:15:00+00:00,189.212,189.262,189.076,189.116,4645
2025-02-20 16:30:00+00:00,189.117,189.19,188.936,189.18,4189
2025-02-20 16:45:00+00:00,189.182,189.236,189.082,189.168,3176
2025-02-20 17:00:00+00:00,189.168,189.238,189.124,189.138,4023
2025-02-20 17:15:00+00:00,189.14,189.252,189.112,189.193,3601
2025-02-20 17:30:00+00:00,189.19,189.22,189.068,189.194,3337
2025-02-20 17:45:00+00:00,189.191,189.191,189.104,189.123,3355
2025-02-20 18:00:00+00:00,189.122,189.287,189.108,189.27,3212
2025-02-20 18:15:00+00:00,189.27,189.38,189.256,189.316,2408
2025-02-20 18:30:00+00:00,189.315,189.372,189.279,189.362,2839
2025-02-20 18:45:00+00:00,189.362,189.47,189.348,189.45,3597
2025-02-20 19:00:00+00:00,189.446,189.533,189.444,189.527,3857
2025-02-20 19:15:00+00:00,189.526,189.596,189.488,189.589,3295
2025-02-20 19:30:00+00:00,189.589,189.664,189.56,189.664,2620
2025-02-20 19:45:00+00:00,189.664,189.792,189.652,189.766,3401
2025-02-20 20:00:00+00:00,189.766,189.789,189.662,189.662,3361
2025-02-20 20:15:00+00:00,189.662,189.699,189.64,189.657,2863
