equity,drawdown,position
9999.295220000009,1.2396720025645607e-05,1
9999.28880000001,1.3038757316426251e-05,1
9999.281920000009,1.3726797279245328e-05,1
9999.274710000009,1.4447839158775676e-05,1
9999.26878000001,1.5040873603337558e-05,1
9999.263480000009,1.5570904388657227e-05,1
9999.257650000009,1.6153938252436098e-05,1
9999.25381000001,1.6537960557159588e-05,1
9999.249730000009,1.694598425605336e-05,1
9999.24631000001,1.7288004121160767e-05,1
9999.24229000001,1.769002747151197e-05,1
9999.237930000008,1.8126052796816465e-05,1
9999.232940000009,1.862508178136317e-05,1
9999.22781000001,1.913811157911524e-05,1
9999.22285000001,1.9634140389481614e-05,1
9999.218620000009,2.0057164959640858e-05,1
9999.214020000009,2.0517191678933722e-05,1
9999.209620000009,2.0957217236478656e-05,1
9999.204230000008,2.1496248544521223e-05,1
9999.199070000008,2.201227851663553e-05,1
9999.193370000008,2.2582311625269153e-05,1
9999.189040000008,2.3015336776211406e-05,1
9999.184620000009,2.345736244987656e-05,1
9999.18049000001,2.387038643907088e-05,1
9999.17696000001,2.4223406943203322e-05,1
9999.17326000001,2.459342843472145e-05,1
9999.16818000001,2.5101457942172968e-05,1
9999.16391000001,2.5528482744572652e-05,1
9999.15923000001,2.5996509928528307e-05,1
9999.15505000001,2.641453420820509e-05,1
9999.15028000001,2.6891561914883642e-05,1
9999.144930000011,2.7426592990503863e-05,1
9999.138960000011,2.8023627667488096e-05,1
9999.13300000001,2.8619662286412217e-05,1
9999.12834000001,2.9085689354247652e-05,1
9999.12479000001,2.9440709974500312e-05,1
9999.121730000012,2.9746727748534208e-05,1
9999.118630000012,3.0056745754990454e-05,1
9999.115450000012,3.037476422610949e-05,1
9999.111550000012,3.0764786879375554e-05,1
9999.108370000013,3.108280535049459e-05,1
9999.105700000013,3.1349820859274644e-05,1
9999.103720000014,3.1547832360088e-05,1
9999.101900000014,3.1729842931575784e-05,1
9999.099820000014,3.1937855013354065e-05,1
9999.097580000014,3.216186802445793e-05,1
9999.094420000014,3.2477886379456745e-05,1
9999.091560000013,3.276390299192462e-05,1
9999.088180000013,3.310192262479159e-05,1
9999.085750000013,3.334493673958327e-05,1
9999.083420000014,3.357795027341003e-05,1
9999.080480000013,3.3871967350540696e-05,1
9999.077920000012,3.4127982220477635e-05,1
9999.075500000012,3.4369996277209205e-05,1
9999.073460000012,3.457400812656513e-05,1
9999.071260000012,3.479402090542856e-05,1
9999.069100000012,3.501003345186963e-05,1
9999.066520000011,3.526804843792678e-05,1
9999.06244000001,3.567607213682055e-05,1
9999.058240000011,3.609609653261756e-05,1
9999.054060000011,3.651412081229434e-05,1
9999.05012000001,3.690814369798275e-05,1
9999.04646000001,3.727416495726044e-05,1
9999.042980000011,3.4803318629637544e-07,1
9999.03947000001,6.990666587881533e-07,1
9999.03539000001,1.1071055669914985e-06,1
9999.03156000001,1.4901420910214603e-06,1
9999.02748000001,1.8981809992248054e-06,1
9999.02246000001,2.4002288715489618e-06,1
9999.017440000009,2.902276743873118e-06,1
9999.012420000008,3.404324616197274e-06,1
9999.007390000008,3.907372583859259e-06,1
9999.002350000008,4.411420646859073e-06,1
9998.997780000009,4.868464227707522e-06,1
9998.992260000008,5.420516868196528e-06,1
9998.987980000009,4.280431355387885e-07,1
9998.983980000008,8.280834492828561e-07,1
9998.980160000008,1.2101219488211204e-06,1
9998.976540000009,1.572158432635798e-06,1
9998.97306000001,1.9201935054621563e-06,1
9998.96835000001,2.3912409747247937e-06,1
9998.96387000001,2.839286125987169e-06,1
9998.95899000001,3.327335308696718e-06,1
9998.953410000011,3.885391546165945e-06,1
9998.948010000011,4.425445969611286e-06,1
9998.943230000012,4.903494144368083e-06,1
9998.938570000011,5.369541109836262e-06,1
9998.93414000001,5.812585757304178e-06,1
9998.929860000011,6.2406288928429666e-06,1
9998.925360000012,6.6906742456231255e-06,1
9998.920960000012,7.13071859063245e-06,1
9998.916840000013,7.542760113665136e-06,1
9998.913030000012,7.923798512444508e-06,1
9998.909520000012,8.27483388772946e-06,1
9998.906730000012,8.553862006555031e-06,1
9998.904390000012,8.787885589957054e-06,1
9998.902130000013,9.013908367106025e-06,1
9998.899650000014,9.261933361496366e-06,1
9998.897090000013,9.517959162321676e-06,1
9998.893920000013,9.834991110894721e-06,1
9998.890420000012,1.018502638542078e-05,1
9998.885000000013,1.0727081010383905e-05,1
9998.878150000013,1.1412150047506895e-05,1
9998.872410000013,1.1986207897664141e-05,1
9998.867390000012,1.248825849136201e-05,1
9998.863400000013,1.288729870416527e-05,1
9998.858230000013,1.3404350809610347e-05,1
9998.852610000013,1.3966407450297058e-05,1
9998.846220000012,1.4605471851419524e-05,1
9998.841140000011,1.5113523049852661e-05,1
9998.835500000012,1.5677579892057156e-05,1
9998.829850000013,1.624263683502054e-05,1
9998.825250000013,1.6702683195753453e-05,1
9998.820310000012,1.719673298319827e-05,1
9998.815290000011,1.7698783576896137e-05,1
9998.810430000012,1.8184832557905986e-05,1
9998.805980000012,1.8629877406891687e-05,1
9998.801740000012,1.9053920139394906e-05,1
9998.796780000011,1.9549970128357508e-05,1
9998.791600000011,2.006802233456148e-05,1
9998.786000000011,2.0628078773730407e-05,1
9998.78026000001,2.1202136623887653e-05,1
9998.775400000011,2.1688185604897503e-05,1
9998.771480000012,2.20802251122066e-05,1
9998.768660000012,2.236225353330885e-05,1
9998.764460000013,2.2782295862594586e-05,1
9998.759560000013,2.327234524682192e-05,1
9998.754170000013,2.3811399569508366e-05,1
9998.749430000013,2.4285447341229596e-05,1
9998.746590000013,2.4569475963849627e-05,1
9998.743050000014,2.4923511641411254e-05,1
9998.738830000013,2.534555417239669e-05,1
9998.735710000014,2.565758561699336e-05,1
9998.735610000014,2.5667586624764197e-05,1
9998.733460000014,2.588260829338344e-05,1
9998.730740000014,2.6154635706714853e-05,1
9998.728880000013,2.6340654452598568e-05,1
9998.727650000013,2.6463666849034848e-05,1
9998.726250000014,2.660368095873612e-05,1
9998.726410000014,2.658767934623002e-05,1
9998.725740000014,2.665468609871302e-05,1
