action,equity,position
BUY,9998.770510000011,1
BUY,9998.77047000001,1
BUY,9998.77113000001,1
BUY,9998.77143000001,1
BUY,9998.77104000001,1
BUY,9998.77028000001,1
BUY,9998.77220000001,1
BUY,9998.77308000001,1
BUY,9998.773620000009,1
BUY,9998.77344000001,1
BUY,9998.77268000001,1
BUY,9998.77186000001,1
BUY,9998.77113000001,1
BUY,9998.77019000001,1
BUY,9998.76939000001,1
BUY,9998.76833000001,1
BUY,9998.766490000009,1
BUY,9998.764290000008,1
BUY,9998.762050000008,1
BUY,9998.76029000001,1
BUY,9998.75903000001,1
BUY,9998.75773000001,1
BUY,9998.75713000001,1
BUY,9998.75649000001,1
BUY,9998.75573000001,1
BUY,9998.75469000001,1
BUY,9998.75463000001,1
BUY,9998.75427000001,1
BUY,9998.75481000001,1
BUY,9998.75515000001,1
BUY,9998.75432000001,1
BUY,9998.753920000008,1
BUY,9998.752620000008,1
BUY,9998.751140000008,1
BUY,9998.750260000008,1
BUY,9998.749880000008,1
BUY,9998.74856000001,1
BUY,9998.74659000001,1
BUY,9998.74470000001,1
BUY,9998.74276000001,1
BUY,9998.74051000001,1
BUY,9998.73831000001,1
BUY,9998.73665000001,1
BUY,9998.73485000001,1
BUY,9998.73299000001,1
BUY,9998.730430000009,1
BUY,9998.727790000008,1
BUY,9998.726420000008,1
BUY,9998.726810000007,1
BUY,9998.727850000007,1
BUY,9998.728610000007,1
BUY,9998.729350000007,1
BUY,9998.729230000006,1
BUY,9998.729010000006,1
BUY,9998.728650000006,1
BUY,9998.729250000006,1
BUY,9998.728720000006,1
BUY,9998.727020000006,1
BUY,9998.726520000006,1
BUY,9998.726480000005,1
BUY,9998.726490000005,1
BUY,9998.726070000004,1
BUY,9998.726470000005,1
BUY,9998.727710000005,1
BUY,9998.728330000005,1
BUY,9998.728660000006,1
BUY,9998.728140000007,1
BUY,9998.728080000006,1
BUY,9998.727740000006,1
BUY,9998.726320000005,1
BUY,9998.724660000005,1
BUY,9998.722480000006,1
BUY,9998.720460000006,1
BUY,9998.718690000005,1
BUY,9998.716660000006,1
BUY,9998.715020000005,1
BUY,9998.713000000005,1
BUY,9998.711140000005,1
BUY,9998.709980000005,1
BUY,9998.708960000005,1
BUY,9998.707800000006,1
BUY,9998.706240000005,1
BUY,9998.705120000004,1
BUY,9998.703970000004,1
BUY,9998.702450000004,1
BUY,9998.701230000004,1
BUY,9998.700150000004,1
BUY,9998.699690000005,1
BUY,9998.698470000005,1
BUY,9998.697630000004,1
BUY,9998.696560000004,1
BUY,9998.695360000003,1
BUY,9998.694510000003,1
BUY,9998.693550000004,1
BUY,9998.692850000003,1
BUY,9998.691950000004,1
BUY,9998.690580000004,1
BUY,9998.688820000005,1
BUY,9998.687160000005,1
BUY,9998.685380000004,1
BUY,9998.683640000005,1
BUY,9998.679480000004,1
BUY,9998.675980000004,1
BUY,9998.672840000003,1
BUY,9998.669480000002,1
BUY,9998.666530000002,1
BUY,9998.664010000002,1
BUY,9998.661870000002,1
BUY,9998.658870000001,1
BUY,9998.65573,1
BUY,9998.65301,1
BUY,9998.65037,1
BUY,9998.64755,1
BUY,9998.64487,1
BUY,9998.64237,1
BUY,9998.64005,1
BUY,9998.63789,1
BUY,9998.63619,1
BUY,9998.633539999999,1
BUY,9998.63238,1
BUY,9998.63164,1
BUY,9998.63064,1
BUY,9998.62946,1
BUY,9998.6275,1
BUY,9998.62508,1
BUY,9998.62286,1
BUY,9998.62067,1
BUY,9998.61723,1
BUY,9998.613659999999,1
BUY,9998.610799999999,1
BUY,9998.608309999998,1
BUY,9998.605729999997,1
BUY,9998.603129999998,1
BUY,9998.599349999999,1
BUY,9998.596189999998,1
BUY,9998.59277,1
BUY,9998.589,1
BUY,9998.58518,1
BUY,9998.58156,1
BUY,9998.57856,1
BUY,9998.5765,1
BUY,9998.57381,1
BUY,9998.57117,1
BUY,9998.56891,1
BUY,9998.56687,1
BUY,9998.5642,1
BUY,9998.561020000001,1
BUY,9998.557460000002,1
BUY,9998.554680000001,1
BUY,9998.551570000001,1
BUY,9998.54757,1
BUY,9998.54377,1
BUY,9998.53938,1
BUY,9998.53608,1
BUY,9998.53215,1
BUY,9998.525319999999,1
BUY,9998.51888,1
BUY,9998.51368,1
BUY,9998.508820000001,1
BUY,9998.504130000001,1
BUY,9998.499090000001,1
BUY,9998.494630000001,1
BUY,9998.490430000002,1
BUY,9998.48679,1
BUY,9998.48308,1
BUY,9998.47764,1
BUY,9998.47308,1
BUY,9998.46744,1
BUY,9998.46196,1
BUY,9998.45684,1
BUY,9998.451500000001,1
BUY,9998.44533,1
BUY,9998.43909,1
BUY,9998.43205,1
BUY,9998.42421,1
BUY,9998.41663,1
BUY,9998.40906,1
BUY,9998.40194,1
BUY,9998.39492,1
BUY,9998.38796,1
BUY,9998.38086,1
BUY,9998.3737,1
BUY,9998.36636,1
BUY,9998.35874,1
BUY,9998.3513,1
BUY,9998.34384,1
BUY,9998.33582,1
BUY,9998.328230000001,1
BUY,9998.320670000001,1
BUY,9998.312870000002,1
BUY,9998.305640000002,1
BUY,9998.298480000003,1
BUY,9998.290730000002,1
BUY,9998.282890000002,1
BUY,9998.274330000002,1
BUY,9998.265410000002,1
BUY,9998.256490000002,1
BUY,9998.247310000002,1
BUY,9998.238270000002,1
BUY,9998.229640000001,1
BUY,9998.220840000002,1
BUY,9998.212360000001,1
BUY,9998.203000000001,1
BUY,9998.19352,1
BUY,9998.18366,1
BUY,9998.174860000001,1
BUY,9998.166140000001,1
BUY,9998.157060000001,1
BUY,9998.147810000002,1
BUY,9998.138050000001,1
BUY,9998.127890000002,1
BUY,9998.116710000002,1
BUY,9998.106350000002,1
BUY,9998.096320000002,1
BUY,9998.087020000003,1
BUY,9998.077740000002,1
BUY,9998.068480000002,1
BUY,9998.058730000002,1
BUY,9998.048030000002,1
BUY,9998.037220000002,1
BUY,9998.027580000002,1
BUY,9998.018570000002,1
BUY,9998.010530000001,1
BUY,9998.00328,1
BUY,9997.99573,1
BUY,9997.98769,1
BUY,9997.97935,1
BUY,9997.97149,1
BUY,9997.96337,1
BUY,9997.95479,1
BUY,9997.94723,1
BUY,9997.93903,1
BUY,9997.931789999999,1
BUY,9997.925009999999,1
BUY,9997.91815,1
BUY,9997.91185,1
BUY,9997.90473,1
BUY,9997.89673,1
BUY,9997.88812,1
BUY,9997.87995,1
BUY,9997.871640000001,1
BUY,9997.863140000001,1
BUY,9997.855370000001,1
BUY,9997.847710000002,1
BUY,9997.839370000002,1
BUY,9997.83133,1
BUY,9997.82077,1
BUY,9997.80985,1
BUY,9997.79871,1
BUY,9997.78687,1
BUY,9997.77551,1
BUY,9997.76361,1
BUY,9997.75039,1
BUY,9997.738309999999,1
BUY,9997.72654,1
BUY,9997.71448,1
BUY,9997.702650000001,1
BUY,9997.691710000001,1
BUY,9997.680810000002,1
BUY,9997.669000000002,1
BUY,9997.657140000001,1
BUY,9997.64542,1
BUY,9997.63414,1
BUY,9997.62216,1
BUY,9997.611,1
BUY,9997.59956,1
BUY,9997.58797,1
BUY,9997.57687,1
BUY,9997.565610000001,1
BUY,9997.554440000002,1
BUY,9997.543760000002,1
BUY,9997.532460000002,1
BUY,9997.521670000002,1
BUY,9997.510750000001,1
BUY,9997.499570000002,1
BUY,9997.488380000003,1
BUY,9997.477210000003,1
BUY,9997.465990000002,1
BUY,9997.455010000003,1
BUY,9997.444530000002,1
BUY,9997.434180000002,1
BUY,9997.423700000001,1
BUY,9997.413120000001,1
BUY,9997.40278,1
BUY,9997.39225,1
BUY,9997.38181,1
BUY,9997.370830000002,1
BUY,9997.359030000001,1
BUY,9997.34653,1
BUY,9997.33473,1
BUY,9997.32337,1
BUY,9997.31163,1
BUY,9997.30026,1
BUY,9997.2898,1
BUY,9997.27957,1
BUY,9997.26945,1
BUY,9997.25921,1
BUY,9997.248590000001,1
BUY,9997.23811,1
BUY,9997.22892,1
BUY,9997.22001,1
BUY,9997.21129,1
BUY,9997.201959999999,1
BUY,9997.192759999998,1
BUY,9997.183139999997,1
BUY,9997.173539999998,1
BUY,9997.164109999998,1
BUY,9997.155199999997,1
BUY,9997.146139999997,1
BUY,9997.136899999998,1
BUY,9997.128369999999,1
BUY,9997.121089999999,1
BUY,9997.113199999998,1
BUY,9997.105759999999,1
BUY,9997.098289999998,1
BUY,9997.090389999998,1
BUY,9997.083219999997,1
BUY,9997.076019999997,1
BUY,9997.067719999997,1
BUY,9997.060279999998,1
BUY,9997.053339999999,1
BUY,9997.046599999998,1
BUY,9997.039369999999,1
BUY,9997.032449999999,1
BUY,9997.02723,1
BUY,9997.02225,1
BUY,9997.01674,1
BUY,9997.010919999999,1
BUY,9997.004079999999,1
BUY,9996.997179999998,1
BUY,9996.989839999998,1
BUY,9996.983769999999,1
BUY,9996.97805,1
BUY,9996.97269,1
BUY,9996.96641,1
BUY,9996.96001,1
BUY,9996.952930000001,1
BUY,9996.944790000001,1
BUY,9996.93676,1
BUY,9996.9315,1
BUY,9996.928240000001,1
BUY,9996.925500000001,1
BUY,9996.922380000002,1
BUY,9996.918780000002,1
BUY,9996.915070000001,1
BUY,9996.91191,1
BUY,9996.907870000001,1
BUY,9996.901580000002,1
BUY,9996.894980000001,1
BUY,9996.88786,1
BUY,9996.8816,1
BUY,9996.87501,1
BUY,9996.86817,1
BUY,9996.860139999999,1
BUY,9996.850719999999,1
BUY,9996.842019999998,1
BUY,9996.832499999999,1
BUY,9996.8229,1
BUY,9996.813339999999,1
BUY,9996.803839999999,1
BUY,9996.793459999999,1
BUY,9996.78342,1
BUY,9996.77407,1
BUY,9996.76428,1
BUY,9996.75499,1
BUY,9996.745429999999,1
BUY,9996.73553,1
BUY,9996.72536,1
BUY,9996.71487,1
BUY,9996.7049,1
BUY,9996.695230000001,1
BUY,9996.685510000001,1
BUY,9996.675410000002,1
BUY,9996.665570000001,1
BUY,9996.655920000001,1
BUY,9996.646760000001,1
BUY,9996.63808,1
BUY,9996.62866,1
BUY,9996.619,1
BUY,9996.610200000001,1
BUY,9996.60224,1
BUY,9996.59435,1
BUY,9996.58635,1
BUY,9996.578,1
BUY,9996.569739999999,1
BUY,9996.561979999999,1
BUY,9996.55519,1
BUY,9996.548869999999,1
BUY,9996.54151,1
BUY,9996.534989999998,1
BUY,9996.528369999998,1
BUY,9996.522329999998,1
BUY,9996.516649999998,1
BUY,9996.510869999998,1
BUY,9996.504129999998,1
BUY,9996.497719999998,1
BUY,9996.490699999998,1
BUY,9996.483909999999,1
BUY,9996.47755,1
BUY,9996.47119,1
BUY,9996.46459,1
BUY,9996.45831,1
BUY,9996.45292,1
BUY,9996.44738,1
BUY,9996.44109,1
BUY,9996.43441,1
BUY,9996.42761,1
BUY,9996.420310000001,1
BUY,9996.412790000002,1
BUY,9996.405380000002,1
BUY,9996.397980000002,1
BUY,9996.39016,1
BUY,9996.38249,1
BUY,9996.37377,1
BUY,9996.3663,1
BUY,9996.35876,1
BUY,9996.35149,1
BUY,9996.34411,1
BUY,9996.33777,1
BUY,9996.33181,1
BUY,9996.325929999999,1
BUY,9996.320049999998,1
BUY,9996.313409999999,1
BUY,9996.307389999998,1
BUY,9996.301389999999,1
BUY,9996.295839999999,1
BUY,9996.29106,1
BUY,9996.28596,1
BUY,9996.28006,1
BUY,9996.2743,1
BUY,9996.268619999999,1
BUY,9996.264459999999,1
BUY,9996.259469999999,1
BUY,9996.255439999999,1
BUY,9996.2516,1
BUY,9996.24734,1
BUY,9996.24287,1
BUY,9996.2383,1
BUY,9996.232940000002,1
BUY,9996.227570000001,1
BUY,9996.22175,1
BUY,9996.21559,1
BUY,9996.20867,1
BUY,9996.20158,1
BUY,9996.193580000001,1
BUY,9996.185000000001,1
BUY,9996.17508,1
BUY,9996.16524,1
BUY,9996.156060000001,1
BUY,9996.14629,1
BUY,9996.13695,1
BUY,9996.12789,1
BUY,9996.11811,1
BUY,9996.10811,1
BUY,9996.098269999999,1
BUY,9996.088569999998,1
BUY,9996.079029999999,1
BUY,9996.070329999999,1
BUY,9996.062069999998,1
BUY,9996.053889999997,1
BUY,9996.045589999998,1
BUY,9996.037079999998,1
BUY,9996.028719999998,1
BUY,9996.019919999999,1
BUY,9996.011489999999,1
BUY,9996.00297,1
BUY,9995.99447,1
BUY,9995.98627,1
BUY,9995.97811,1
BUY,9995.96981,1
BUY,9995.96176,1
BUY,9995.95354,1
BUY,9995.944880000001,1
BUY,9995.93632,1
BUY,9995.927380000001,1
BUY,9995.918640000002,1
BUY,9995.91025,1
BUY,9995.90147,1
BUY,9995.89133,1
BUY,9995.88001,1
BUY,9995.868670000002,1
BUY,9995.857290000002,1
BUY,9995.846290000001,1
BUY,9995.835130000001,1
BUY,9995.824180000001,1
BUY,9995.813540000001,1
BUY,9995.8042,1
BUY,9995.7955,1
BUY,9995.78614,1
BUY,9995.77684,1
BUY,9995.76755,1
BUY,9995.758890000001,1
BUY,9995.750150000002,1
BUY,9995.741650000002,1
BUY,9995.733500000002,1
BUY,9995.725500000002,1
BUY,9995.717820000002,1
BUY,9995.710260000002,1
BUY,9995.702760000002,1
BUY,9995.694550000002,1
BUY,9995.686390000003,1
BUY,9995.678200000002,1
BUY,9995.670080000002,1
BUY,9995.662220000002,1
BUY,9995.655660000002,1
BUY,9995.648260000002,1
BUY,9995.641000000001,1
BUY,9995.634580000002,1
BUY,9995.629190000001,1
BUY,9995.623090000001,1
BUY,9995.61743,1
BUY,9995.61147,1
BUY,9995.60503,1
BUY,9995.59775,1
BUY,9995.58997,1
BUY,9995.58171,1
BUY,9995.573540000001,1
BUY,9995.5647,1
BUY,9995.55672,1
BUY,9995.5483,1
BUY,9995.54054,1
BUY,9995.53312,1
BUY,9995.52578,1
BUY,9995.51856,1
BUY,9995.51152,1
BUY,9995.50422,1
BUY,9995.497140000001,1
BUY,9995.490420000002,1
BUY,9995.484220000002,1
BUY,9995.478240000002,1
BUY,9995.471200000002,1
BUY,9995.465720000002,1
BUY,9995.460160000002,1
BUY,9995.455480000002,1
BUY,9995.450720000003,1
BUY,9995.445300000003,1
BUY,9995.440430000002,1
BUY,9995.434510000003,1
BUY,9995.428860000004,1
BUY,9995.423620000003,1
BUY,9995.417760000004,1
BUY,9995.412120000005,1
BUY,9995.405270000005,1
BUY,9995.400170000004,1
BUY,9995.395080000004,1
BUY,9995.389940000005,1
BUY,9995.386360000004,1
BUY,9995.383040000004,1
BUY,9995.379660000004,1
BUY,9995.376090000003,1
BUY,9995.372020000003,1
BUY,9995.367960000003,1
BUY,9995.364640000003,1
BUY,9995.361780000003,1
BUY,9995.358820000003,1
BUY,9995.356480000004,1
BUY,9995.354460000004,1
BUY,9995.351720000004,1
BUY,9995.349500000004,1
BUY,9995.347060000004,1
BUY,9995.344040000004,1
BUY,9995.341050000003,1
BUY,9995.337950000003,1
BUY,9995.335170000002,1
BUY,9995.332260000003,1
BUY,9995.329500000003,1
BUY,9995.323710000004,1
BUY,9995.316630000005,1
BUY,9995.311510000005,1
BUY,9995.305770000004,1
BUY,9995.299810000004,1
BUY,9995.293990000004,1
BUY,9995.288040000003,1
BUY,9995.282040000004,1
BUY,9995.277100000003,1
BUY,9995.270160000004,1
BUY,9995.263800000004,1
BUY,9995.257880000005,1
BUY,9995.252950000006,1
BUY,9995.246290000006,1
BUY,9995.240530000006,1
BUY,9995.235010000006,1
BUY,9995.228650000006,1
BUY,9995.222960000006,1
BUY,9995.217620000007,1
BUY,9995.211700000007,1
BUY,9995.205750000006,1
BUY,9995.199670000007,1
BUY,9995.193390000008,1
BUY,9995.187970000008,1
BUY,9995.183090000008,1
BUY,9995.177890000008,1
BUY,9995.172510000008,1
BUY,9995.166880000008,1
BUY,9995.162200000008,1
BUY,9995.157720000008,1
BUY,9995.153260000008,1
BUY,9995.149780000009,1
BUY,9995.146500000008,1
BUY,9995.143120000008,1
BUY,9995.140220000008,1
BUY,9995.13760000001,1
BUY,9995.13434000001,1
BUY,9995.13030000001,1
BUY,9995.12632000001,1
BUY,9995.122540000011,1
BUY,9995.118950000011,1
BUY,9995.11557000001,1
BUY,9995.11277000001,1
BUY,9995.10859000001,1
BUY,9995.103750000011,1
BUY,9995.099490000011,1
BUY,9995.095460000011,1
BUY,9995.091130000012,1
BUY,9995.087670000012,1
BUY,9995.083580000011,1
BUY,9995.079910000011,1
BUY,9995.076440000012,1
BUY,9995.073200000012,1
BUY,9995.069900000011,1
BUY,9995.066560000012,1
BUY,9995.062300000012,1
BUY,9995.058410000012,1
BUY,9995.054880000012,1
BUY,9995.050800000012,1
BUY,9995.046690000012,1
BUY,9995.042490000013,1
BUY,9995.038510000013,1
BUY,9995.033950000014,1
BUY,9995.030610000014,1
BUY,9995.026190000015,1
BUY,9995.022340000016,1
BUY,9995.019140000017,1
BUY,9995.015840000016,1
BUY,9995.012370000017,1
BUY,9995.006770000016,1
BUY,9995.001470000016,1
BUY,9994.996170000015,1
BUY,9994.990290000014,1
BUY,9994.984990000014,1
BUY,9994.979850000014,1
BUY,9994.974720000015,1
BUY,9994.969320000015,1
BUY,9994.963140000014,1
BUY,9994.956940000015,1
BUY,9994.951130000014,1
BUY,9994.946890000014,1
BUY,9994.941900000014,1
BUY,9994.935700000015,1
BUY,9994.929080000014,1
BUY,9994.920160000014,1
BUY,9994.911920000015,1
BUY,9994.902660000014,1
BUY,9994.893320000014,1
BUY,9994.882800000014,1
