step,action,pre_position,post_position,pre_equity,post_equity,reward,cost_incurred
107,BUY,1,1,9999.617539999996,9999.611459999996,0.43692000000079856,0.0
108,BUY,1,1,9999.611459999996,9999.604959999997,0.4355000000004947,0.0
109,BUY,1,1,9999.604959999997,9999.599079999996,0.4351199999993841,0.0
110,BUY,1,1,9999.599079999996,9999.592499999997,0.4334200000006967,0.0
111,BUY,1,1,9999.592499999997,9999.586119999996,0.43261999999928225,0.0
112,BUY,1,1,9999.586119999996,9999.581009999996,0.43288999999994116,0.0
113,BUY,1,1,9999.581009999996,9999.575789999997,0.431780000000901,0.0
114,BUY,1,1,9999.575789999997,9999.570909999997,0.43111999999958783,0.0
115,BUY,1,1,9999.570909999997,9999.566129999997,0.4302200000006996,0.0
116,BUY,1,1,9999.566129999997,9999.562589999998,0.4304600000002974,0.0
117,BUY,1,1,9999.562589999998,9999.559909999998,0.4303200000003998,0.0
118,BUY,1,1,9999.559909999998,9999.557169999998,0.42926000000009656,0.0
119,BUY,1,1,9999.557169999998,9999.555129999999,0.42896000000060297,0.0
120,BUY,1,1,9999.555129999999,9999.553409999999,0.42827999999979505,0.0
121,BUY,1,1,9999.553409999999,9999.551109999999,0.42669999999989516,0.0
122,BUY,1,1,9999.551109999999,9999.548549999998,0.42543999999918736,0.0
123,BUY,1,1,9999.548549999998,9999.546599999998,0.42505000000014836,0.0
124,BUY,1,1,9999.546599999998,9999.544959999997,0.42435999999959306,0.0
125,BUY,1,1,9999.544959999997,9999.543319999997,0.42335999999959306,0.0
126,BUY,1,1,9999.543319999997,9999.541079999997,0.4217600000001984,0.0
127,BUY,1,1,9999.541079999997,9999.539519999997,0.4214399999993911,0.0
128,BUY,1,1,9999.539519999997,9999.538619999998,0.42110000000090797,0.0
129,BUY,1,1,9999.538619999998,9999.537359999998,0.4197400000009074,0.0
130,BUY,1,1,9999.537359999998,9999.5356,0.4182400000008055,0.0
131,BUY,1,1,9999.5356,9999.533519999999,0.41691999999979446,0.0
132,BUY,1,1,9999.533519999999,9999.53226,0.4167400000009074,0.0
133,BUY,1,1,9999.53226,9999.531069999999,0.41580999999913903,0.0
134,BUY,1,1,9999.531069999999,9999.529149999998,0.4140799999993905,0.0
135,BUY,1,1,9999.529149999998,9999.526409999999,0.41226000000009655,0.0
136,BUY,1,1,9999.526409999999,9999.52343,0.4110200000007025,0.0
137,BUY,1,1,9999.52343,9999.520069999999,0.4096399999993882,0.0
138,BUY,1,1,9999.520069999999,9999.516829999999,0.40875999999999474,0.0
139,BUY,1,1,9999.516829999999,9999.51449,0.4086600000009057,0.0
140,BUY,1,1,9999.51449,9999.51225,0.40776000000019846,0.0
141,BUY,1,1,9999.51225,9999.50965,0.4064000000001979,0.0
142,BUY,1,1,9999.50965,9999.50695,0.4053000000009051,0.0
143,BUY,1,1,9999.50695,9999.504550000001,0.4046000000006024,0.0
144,BUY,1,1,9999.504550000001,9999.50271,0.40415999999918856,0.0
145,BUY,1,1,9999.50271,9999.500810000001,0.4031000000007043,0.0
146,BUY,1,1,9999.500810000001,9999.499200000002,0.4023900000006542,0.0
147,BUY,1,1,9999.499200000002,9999.496460000002,0.4002600000000966,0.0
148,BUY,1,1,9999.496460000002,9999.493200000003,0.3987400000005,0.0
149,BUY,1,1,9999.493200000003,9999.488980000002,0.39677999999928576,0.0
150,BUY,1,1,9999.488980000002,9999.484080000002,0.3951000000000931,0.0
151,BUY,1,1,9999.484080000002,9999.480160000003,0.39508000000080207,0.0
152,BUY,1,1,9999.480160000003,9999.476800000002,0.3946399999993882,0.0
153,BUY,1,1,9999.476800000002,9999.473700000002,0.393900000000096,0.0
154,BUY,1,1,9999.473700000002,9999.471160000003,0.39346000000050113,0.0
155,BUY,1,1,9999.471160000003,9999.469140000003,0.39298000000009775,0.0
156,BUY,1,1,9999.469140000003,9999.466520000004,0.3913800000007031,0.0
157,BUY,1,1,9999.466520000004,9999.463860000003,0.3903399999998946,0.0
158,BUY,1,1,9999.463860000003,9999.460860000003,0.3889999999993888,0.0
159,BUY,1,1,9999.460860000003,9999.457760000003,0.387900000000096,0.0
160,BUY,1,1,9999.457760000003,9999.454880000003,0.3871199999999953,0.0
161,BUY,1,1,9999.454880000003,9999.451350000003,0.3854700000000448,0.0
162,BUY,1,1,9999.451350000003,9999.448690000003,0.3853399999998946,0.0
163,BUY,1,1,9999.448690000003,9999.446480000002,0.3847899999994406,0.0
164,BUY,1,1,9999.446480000002,9999.444500000003,0.38402000000090625,0.0
165,BUY,1,1,9999.444500000003,9999.443460000004,0.3839600000008067,0.0
166,BUY,1,1,9999.443460000004,9999.443020000004,0.38356000000020135,0.0
167,BUY,1,1,9999.443020000004,9999.441460000004,0.3814399999993911,0.0
168,BUY,1,1,9999.441460000004,9999.440160000004,0.3807000000000989,0.0
